ubigeo,region,ti_pred_mean,ti_pred_sd,ti_pred_lower,ti_pred_upper,n,categoria_regional,categoria_detallada,limite_bajo_inf,limite_medio_inf,limite_medio_sup,limite_alto_sup
0204,7,0.1398021760489098,0.1050544422071929,0.1368242691169144,0.1427800829809051,4781,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2202,7,0.1380444144038509,0.0959873938731093,0.1341758066383358,0.141913022169366,2365,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
1802,1,0.1365203695076422,0.0895269678610626,0.133324137301745,0.1397166017135394,3014,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0410,6,0.1357381945251874,0.0984035317612338,0.1312840313699452,0.1401923576804296,1875,Alto,R6 - Alto,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2510,1,0.1343387570661153,0.0796875062333054,0.1309958874368821,0.1376816266953485,2183,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
3205,10,0.1329578151483871,0.0872919578824846,0.1315107361074939,0.1344048941892804,13979,Alto,R10 - Alto,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
0203,7,0.1320679342387473,0.0891012469026888,0.1295189431896972,0.1346169252877974,4694,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
1805,1,0.1308580180254991,0.0828252768065709,0.1276858862659338,0.1340301497850644,2619,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
2204,7,0.1306349835800184,0.0871660750880779,0.1273835838969624,0.1338863832630744,2761,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0205,7,0.1293940096021626,0.0857009039624416,0.1265870296317258,0.1322009895725995,3581,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
1806,1,0.1291890406294357,0.0851367658552122,0.1263141408192215,0.13206394043965,3369,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0801,8,0.1289459004251518,0.0906837903098041,0.1275564565778476,0.130335344272456,16364,Alto,R8 - Alto,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
0202,7,0.1287155319896138,0.0800651285710921,0.1260368211372769,0.1313942428419506,3432,Medio,R7 - Medio,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0404,6,0.1280989339943978,0.1024778549807132,0.1250584429624738,0.1311394250263219,4364,Alto,R6 - Alto,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0208,7,0.1274202405487797,0.0843225307132556,0.1249673861054962,0.1298730949920632,4540,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2505,1,0.1271001844871086,0.0837402957976253,0.125074647757433,0.1291257212167841,6566,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0207,7,0.1263148105594786,0.0863146600197973,0.1232327506965669,0.1293968704223903,3013,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
1202,8,0.1258535382045925,0.0831464471392032,0.1233706228139274,0.1283364535952576,4308,Alto,R8 - Alto,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
0302,6,0.1243256585097154,0.088568553956046,0.1214806137237998,0.127170703295631,3723,Alto,R6 - Alto,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2205,7,0.1241189796497752,0.0911516145229411,0.1224252234064993,0.1258127358930511,11126,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2108,5,0.123291441786015,0.07958680876408,0.1205878553140276,0.1259950282580025,3329,Alto,R5 - Alto,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1808,1,0.122496036753867,0.08059712893666,0.1200070022792791,0.1249850712284548,4028,Alto,R1 - Alto,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
1804,1,0.1206894303773231,0.0786227323639711,0.1183526951798631,0.1230261655747831,4349,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0905,1,0.1198152149888842,0.077957032218643,0.1173407690714165,0.1222896609063519,3813,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0902,1,0.1197541203576672,0.0790982867706463,0.1156092181253319,0.1238990225900025,1399,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
1602,6,0.1195477089265149,0.0843842427002542,0.1161730419081569,0.1229223759448728,2402,Alto,R6 - Alto,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
1807,1,0.1190869987419444,0.0748170579480149,0.1177604021866031,0.1204135952972858,12219,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0504,4,0.1190565929998681,0.0901175365245842,0.1153044402984143,0.1228087457013219,2216,Alto,R4 - Alto,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
0903,1,0.1175511571518425,0.0808393318076317,0.1158526426977681,0.1192496716059169,8702,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0403,6,0.1175135127173511,0.0897897969101336,0.1142771484435692,0.120749876991133,2957,Alto,R6 - Alto,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
1102,8,0.1174686765564359,0.0817228016178881,0.1154881656266601,0.1194491874862116,6541,Alto,R8 - Alto,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
1803,1,0.1170602130707114,0.0803308075837355,0.1125263901835394,0.1215940359578834,1206,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0210,7,0.1170513694073878,0.0778016949929111,0.1133209565004759,0.1207817823142996,1671,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
1004,6,0.1161043542012401,0.0911692290647671,0.1120347625004766,0.1201739459020035,1928,Alto,R6 - Alto,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
1005,6,0.1132488993443131,0.072593261698373,0.1101178323976454,0.1163799662909807,2065,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0904,1,0.1130146829811495,0.0733952587820874,0.1094126827716432,0.1166166831906558,1595,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
1809,1,0.1124802303907107,0.079026934523623,0.1101438058053572,0.1148166549760643,4395,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0802,8,0.1124742105016996,0.0772619846283535,0.1105260193319364,0.1144224016714627,6042,Alto,R8 - Alto,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
2509,1,0.1105706543426509,0.0704641199366483,0.1077596891322535,0.1133816195530483,2414,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0602,3,0.1104089247226746,0.0742312014954713,0.1077182953603899,0.1130995540849594,2924,Alto,R3 - Alto,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
0301,6,0.1103692499591073,0.0833421615416457,0.108761658089013,0.1119768418292016,10325,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2507,1,0.1095172743446382,0.0747365215572599,0.1079419088223017,0.1110926398669748,8646,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
3204,10,0.1088042701708281,0.0721275210520014,0.1081041958999071,0.109504344441749,40778,Medio,R10 - Medio,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
1601,6,0.1085338541178244,0.0856169655668215,0.1065145458852258,0.1105531623504231,6906,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2201,7,0.1081211768128502,0.0824658571406193,0.1072196746385597,0.1090226789871406,32146,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0901,1,0.1074652159493915,0.074168431462017,0.1066227984048425,0.1083076334939405,29778,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
2508,1,0.1074363142268064,0.0683713065736293,0.1059712891242499,0.108901339329363,8367,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
0408,6,0.1067128787907279,0.0743399299863375,0.1036526601303414,0.1097730974511144,2267,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0305,6,0.1061180532992276,0.0855489790820144,0.1028130900752611,0.1094230165231941,2574,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0303,6,0.1046199278374611,0.073493191247202,0.1029646564850983,0.106275199189824,7573,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
1003,6,0.1046141716356209,0.0747863432634021,0.1015826817992667,0.107645661471975,2338,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0206,7,0.1043192169377607,0.0686773990656586,0.1024134790918204,0.1062249547837011,4989,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
0201,7,0.1042661502288182,0.0720661481588677,0.103366142250297,0.1051661582073393,24631,Bajo,R7 - Bajo,0.1042661502288182,0.1286682359267261,0.15307032162463402,0.1774724073225419
2506,1,0.1036445728621255,0.071517420764193,0.1023232919373204,0.1049658537869305,11255,Medio,R1 - Medio,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
3103,5,0.1030678034694759,0.0697230964992993,0.1003390206519468,0.105796586287005,2508,Medio,R5 - Medio,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
0407,6,0.1024627860916929,0.0793120749357746,0.0993661147647485,0.1055594574186374,2520,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0605,3,0.1016298984283495,0.0707468914918127,0.100048546606361,0.103211250250338,7689,Alto,R3 - Alto,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
0503,4,0.1008911818285364,0.0727508954239757,0.0970978281777545,0.1046845354793182,1413,Alto,R4 - Alto,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2303,9,0.1003193027250761,0.0713041877478427,0.0976281977745285,0.1030104076756237,2697,Alto,R9 - Alto,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
1101,8,0.0984948067638446,0.0679601186023501,0.0980500835790671,0.0989395299486221,89710,Medio,R8 - Medio,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
2106,5,0.098415244286406,0.067408106553652,0.0972343779937264,0.0995961105790856,12518,Medio,R5 - Medio,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
3207,10,0.0979766840936483,0.0724427649293368,0.0970356242068927,0.098917743980404,22765,Medio,R10 - Medio,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
2905,9,0.0957745483987361,0.0688303185847351,0.0936826461302128,0.0978664506672594,4159,Alto,R9 - Alto,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
2104,5,0.0955522104852915,0.0740238066096642,0.0938544483805824,0.0972499725900007,7303,Medio,R5 - Medio,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1903,3,0.0946859941637867,0.066460831662354,0.0927931450501104,0.096578843277463,4736,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
0304,6,0.0944865033910498,0.0769513957637378,0.0917492078540162,0.0972237989280835,3036,Medio,R6 - Medio,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
1403,3,0.0937162658889389,0.0669922757931555,0.0920746986170786,0.0953578331607992,6398,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
2001,3,0.0934900923918853,0.0688439246694183,0.0923422885592885,0.0946378962244822,13820,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
0502,4,0.0931136030443235,0.0740243167160575,0.0908261327528157,0.0954010733358312,4023,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
1203,8,0.0923672013118028,0.0587669855735921,0.0916925410892011,0.0930418615344045,29148,Bajo,R8 - Bajo,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
3203,10,0.092268096540957,0.0642167647606749,0.091947299640939,0.092588893440975,153939,Bajo,R10 - Bajo,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
0603,3,0.0922256468987255,0.0713232206644277,0.0896964571668655,0.0947548366305855,3055,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
3202,10,0.0921809156753246,0.0656829945953578,0.0917499633431547,0.0926118680074944,89240,Bajo,R10 - Bajo,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
1001,6,0.0920646125714178,0.0630437837889663,0.0903860452390492,0.0937431799037864,5419,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2502,1,0.0916493219228035,0.0646549758157187,0.0903834760622666,0.0929151677833405,10022,Bajo,R1 - Bajo,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
1902,3,0.0914972527822822,0.0639538939738211,0.0897852669735184,0.093209238591046,5361,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
1703,5,0.0912056525819304,0.0609561996009559,0.0893693264284801,0.0930419787353806,4233,Medio,R5 - Medio,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
2504,1,0.0910950869770679,0.062734382747022,0.0894525595230295,0.0927376144311064,5604,Bajo,R1 - Bajo,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
3206,10,0.0909448723236929,0.0615256610781564,0.0905240323559072,0.0913657122914785,82109,Bajo,R10 - Bajo,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
1801,1,0.0908718244475495,0.0655037974736263,0.0901599437443855,0.0915837051507134,32526,Bajo,R1 - Bajo,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
1002,6,0.0907278308689849,0.0697178557132635,0.0883249619228492,0.0931306998151207,3234,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0405,6,0.0903499133952263,0.0630546369916022,0.0888004680246417,0.0918993587658109,6362,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
1006,6,0.0902046353511792,0.067385037737863,0.0863317941498121,0.0940774765525464,1163,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0607,3,0.0899326933471799,0.0654944148914263,0.0860156516262201,0.0938497350681398,1074,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
1502,4,0.0895856322608599,0.0584832544849199,0.0876846604957709,0.0914866040259489,3636,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
0606,3,0.0891321723112278,0.0622763064881284,0.0868764097600348,0.0913879348624208,2928,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
1503,4,0.0885367665637784,0.0601422073993639,0.0871940240001991,0.0898795091273578,7707,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2602,4,0.0881820525576483,0.0660517085675231,0.0856015843092364,0.0907625208060602,2517,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
1402,3,0.0880923834027299,0.0618585009278889,0.0864847920233517,0.0896999747821081,5688,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
0604,3,0.087160145066028,0.0677475114561848,0.0850603654454719,0.0892599246865841,3999,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
0505,4,0.0868500754524235,0.0616916072185216,0.0835506057114491,0.0901495451933979,1343,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2102,5,0.0866494763305505,0.05855020661526,0.0849113110576872,0.0883876416034138,4359,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1505,4,0.0865759513951015,0.0578507553009086,0.0841955628214371,0.0889563399687659,2269,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
3201,10,0.0865587819286688,0.0594867812910034,0.0863075062278484,0.0868100576294891,215304,Bajo,R10 - Bajo,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
2904,9,0.0864243207406435,0.0645563316615893,0.0854296512042349,0.0874189902770521,16182,Alto,R9 - Alto,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
0406,6,0.0849801681759533,0.0560373018806064,0.0815017186281812,0.0884586177237254,997,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2601,4,0.0846475117059576,0.0682255346847216,0.0830799421086874,0.0862150813032279,7277,Medio,R4 - Medio,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2901,9,0.0843345908446801,0.0621720244461416,0.0832382901088926,0.0854308915804677,12355,Medio,R9 - Medio,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
1901,3,0.0842176758382498,0.0639912824580691,0.082770670307953,0.0856646813685465,7513,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
2002,3,0.0838386928961333,0.0633200003945658,0.0821726368083347,0.0855047489839319,5549,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
2302,9,0.0837487351928472,0.0629940590450511,0.0821687911544059,0.0853286792312885,6107,Medio,R9 - Medio,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
0402,6,0.0833756080688252,0.0592921173579856,0.0815779096131921,0.0851733065244583,4179,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2501,1,0.0831881064330591,0.0580209618149471,0.0828935426317729,0.0834826702343454,149047,Bajo,R1 - Bajo,0.0831881064330591,0.10263626399462003,0.12208442155618096,0.1415325791177419
2306,9,0.083042127123811,0.0557491101815455,0.0814232937336396,0.0846609605139823,4556,Medio,R9 - Medio,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
0409,6,0.082518424153107,0.0582269330753386,0.0791704898830084,0.0858663584232056,1162,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
2003,3,0.081805805907495,0.0576660344290551,0.0803229870785785,0.0832886247364115,5810,Medio,R3 - Medio,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
2107,5,0.0817247557377795,0.0581556918760835,0.0805355378309218,0.0829139736446371,9187,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
2105,5,0.0801567628485524,0.058479201369743,0.0794182668975449,0.0808952587995598,24089,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1401,3,0.0796568674130772,0.0629738145023699,0.0787032881100491,0.0806104467161054,16754,Bajo,R3 - Bajo,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
2603,4,0.0791915126557977,0.0596957152032968,0.076887113143638,0.0814959121679574,2578,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
1404,3,0.0787819743771592,0.0578666442092733,0.0768436900195046,0.0807202587348137,3424,Bajo,R3 - Bajo,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
3102,5,0.078724184496166,0.0631891888389155,0.0760144319582266,0.0814339370341053,2089,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
2402,2,0.0766875336300912,0.0602072060367467,0.0747398771821269,0.0786351900780555,3671,Alto,R2 - Alto,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
2903,9,0.0764754059549661,0.0619370414589721,0.0751825620045897,0.0777682499053425,8817,Medio,R9 - Medio,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
2103,5,0.0764713484215761,0.054254865002639,0.0759305355943539,0.0770121612487983,38663,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
0401,6,0.0759405687488951,0.052429930253303,0.0752582534566127,0.0766228840411776,22683,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
0101,10,0.0757412163135441,0.049958842699064,0.0755212078656859,0.0759612247614024,198088,Bajo,R10 - Bajo,0.0757412163135441,0.09481341592515842,0.11388561553677276,0.1329578151483871
2902,9,0.0751443694297678,0.0600852444549677,0.073793843740274,0.0764948951192616,7604,Medio,R9 - Medio,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
1201,8,0.0745753151403444,0.0494669439680081,0.0740340290109522,0.0751166012697367,32084,Bajo,R8 - Bajo,0.0745753151403444,0.09269884356861353,0.11082237199688266,0.1289459004251518
3101,5,0.0745574350903588,0.0589517598399689,0.0732830798137681,0.0758317903669495,8221,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1702,5,0.0744903030936333,0.0515543015788662,0.0733050433894127,0.0756755627978538,7268,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1304,2,0.0742927915892954,0.0520246156756406,0.0730217582734959,0.075563824905095,6436,Alto,R2 - Alto,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
1506,4,0.0733336674746227,0.053981642895501,0.0714946401913391,0.0751726947579063,3310,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2101,5,0.0733180140712074,0.0559664880651213,0.0728861366417013,0.0737498915007135,64513,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
1501,4,0.0732515537242001,0.0547281678281765,0.0717733763406545,0.0747297311077456,5266,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2403,2,0.0730706184083581,0.0551091197499305,0.071487477020113,0.0746537597966033,4655,Alto,R2 - Alto,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
1303,2,0.072991320757183,0.0541114290240808,0.0720499451631503,0.0739326963512157,12693,Alto,R2 - Alto,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
1701,5,0.0726554224402146,0.0527919581979697,0.0721058849227393,0.07320495995769,35453,Bajo,R5 - Bajo,0.0726554224402146,0.0895340955554814,0.1064127686707482,0.123291441786015
2404,2,0.0726439754988988,0.0541835615019783,0.0714905835562827,0.0737973674415149,8478,Alto,R2 - Alto,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
0411,6,0.0725101857325813,0.050513142138826,0.0696917841380363,0.0753285873271263,1234,Bajo,R6 - Bajo,0.0725101857325813,0.09358618866345,0.1146621915943187,0.1357381945251874
3001,9,0.0717968429894709,0.0569153686944499,0.0709064874552394,0.0726871985237024,15698,Medio,R9 - Medio,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
1301,2,0.0717150653240178,0.0531478300914623,0.0712710535298697,0.0721590771181659,55042,Alto,R2 - Alto,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
2702,4,0.0710509132905499,0.0510203855542715,0.0702222855423072,0.0718795410387925,14564,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
0501,4,0.0708955000108155,0.0545437070302659,0.0697192200487663,0.0720717799728648,8260,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
2703,4,0.0706035776986705,0.0504205217225136,0.0692729661826803,0.0719341892146607,5516,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
3003,9,0.0700928561912927,0.0536654389115029,0.0677991852068676,0.0723865271757177,2103,Bajo,R9 - Bajo,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
1302,2,0.0684451702424355,0.051507373567533,0.067618091390101,0.0692722490947701,14899,Medio,R2 - Medio,0.061125499560941,0.06631284425065774,0.07150018894037447,0.0766875336300912
1504,4,0.0681575692240241,0.0487008045203986,0.0661248007806487,0.0701903376673995,2205,Bajo,R4 - Bajo,0.0628463239736414,0.08158308031571697,0.10031983665779254,0.1190565929998681
0601,3,0.0670313785563703,0.053318737168585,0.0665055049646784,0.0675572521480623,39492,Bajo,R3 - Bajo,0.0670313785563703,0.08149056061180507,0.09594974266723984,0.1104089247226746
3002,9,0.0669434426695021,0.0496108982732079,0.065493269015995,0.0683936163230092,4496,Bajo,R9 - Bajo,0.0568880995192329,0.07136516725451396,0.08584223498979503,0.1003193027250761
